ID,CLASSIFIED,TYPE,SUMMARY
HTTPCLIENT-295,BUG,IMPROVEMENT,HttpClient loops endlessly while trying to retrieve status line
HTTPCLIENT-296,BUG,BUG,Basic Authentification fails with non-ASCII username password characters
HTTPCLIENT-297,BUG,BUG,DigestScheme.authenticate returns invalid authorization string when algorithm is null
HTTPCLIENT-3,BUG,BUG,Http Authentication with invalid credentials causes infinite loop
HTTPCLIENT-302,BUG,BUG,exception during writeRequest leaves the connection un-released
HTTPCLIENT-307,BUG,BUG,An IOException or RuntimeException leaves the underlying socket in an undetermined state
HTTPCLIENT-310,BUG,BUG,Memory leak in MultiThreadedHttpClient caused by bad .equals
HTTPCLIENT-311,BUG,BUG,getScheme and getPort return wrong defaults for HttpsURL
HTTPCLIENT-314,BUG,BUG,New socket timeout value wont have effect if connection is reused
HTTPCLIENT-315,BUG,BUG,HttpURL creates wrong authority String when user info is changed
HTTPCLIENT-318,BUG,BUG,Host configuration properties not updated when the method is redirected
HTTPCLIENT-319,BUG,BUG,ArrayIndexOutOfBounds Exception on invalid content-length
HTTPCLIENT-320,BUG,BUG, Socket Closed IOException thrown by HttpConnection
HTTPCLIENT-321,BUG,BUG,wrong charset indication in HttpConstants.getContentString
HTTPCLIENT-325,BUG,BUG,Deadlock with MultiThreadedHttpConnectionManager
HTTPCLIENT-330,BUG,BUG, PATCH Wirelog corrections
HTTPCLIENT-336,BUG,BUG,ArrayIndexOutOfBoundsException in HttpStatus.getStatusText 508
HTTPCLIENT-341,BUG,BUG,HttpUrl does not accept unescaped passwords
HTTPCLIENT-346,BUG,BUG,Cookies with names containing blanks or starting with should be rejected by RFC2109 spec only
HTTPCLIENT-350,BUG,BUG,HttpState matchCredentials is broken
HTTPCLIENT-359,BUG,BUG,StringRequestEntity.getContentLength wrong for multibyte chars
HTTPCLIENT-365,BUG,BUG,StatusLine IndexOutOfBounds
HTTPCLIENT-369,BUG,BUG,Missing skip -Method in ContentLengthInputStream
HTTPCLIENT-375,BUG,BUG,Chunked Stream Encoding Problems Fails to throw Exceptions
HTTPCLIENT-378,BUG,BUG,HttpState.setCookiePolicy is completely ignored
HTTPCLIENT-379,BUG,BUG,JVM bug 4949631 causes BufferOverflowException in HttpMethodBase.getResponseBodyAsString
HTTPCLIENT-38,BUG,BUG,Header Connection Close - Closes the Connection
HTTPCLIENT-386,BUG,BUG,Catch SocketTimeoutException not InterruptedIOException
HTTPCLIENT-387,BUG,BUG,DefaultHttpParamsFactory.getDefaultParams is not thread safe
HTTPCLIENT-390,BUG,BUG,SSL proxy Host auth Keep Alive off causes an infinite loop in HttpMethodDirector
HTTPCLIENT-402,BUG,BUG,DefaultMethodRetryHandler bug
HTTPCLIENT-404,BUG,BUG,SO TIMEOUT parameter on the method level has no effect
HTTPCLIENT-405,BUG,BUG,HostConfiguration.setHost String causes NullPointerException
HTTPCLIENT-411,BUG,BUG,Checking of stale connections is broken
HTTPCLIENT-413,BUG,BUG,Cookie with domain .mydomain.com not sent to host mydomain.com
HTTPCLIENT-414,BUG,BUG,cookies 20 years invalidated
HTTPCLIENT-418,BUG,BUG,ALLOW CIRCULAR REDIRECTS has no effect if references include query string
HTTPCLIENT-425,BUG,BUG,URI.getHost generates IllegalArgumentException
HTTPCLIENT-429,BUG,BUG,Problem getting the HTTPClient to use HTTP 1.0 with a proxy server
HTTPCLIENT-436,BUG,BUG,Retry on ConnectionException does not work
HTTPCLIENT-437,BUG,BUG,method.getURI returns escaped URIs but it shouldn t
HTTPCLIENT-439,BUG,BUG,Authentication fails when connecting to server with username and password in non ascii characters
HTTPCLIENT-440,BUG,BUG,Exception in HttpConnection because of unchecked buffer size
HTTPCLIENT-441,BUG,BUG,Cookie.java hashCode method violates contract
HTTPCLIENT-444,BUG,BUG,Preemptive authentication causes NTLM auth scheme to fail
HTTPCLIENT-445,BUG,BUG,304 response status handling
HTTPCLIENT-447,BUG,BUG,IllegalStateException Authentication state already initialized
HTTPCLIENT-452,BUG,BUG,DateUtil.formatDate uses default timezone instead of GMT
HTTPCLIENT-453,BUG,BUG,Virtual host setting does not apply when parsing and matching cookies
HTTPCLIENT-454,BUG,BUG,Connection with the proxy is not reopened if an proxy auth failure occurs while SSL tunnel is being established
HTTPCLIENT-456,BUG,BUG,HttpClient should always override the host of HostConfiguration if an absolute request URI is given
HTTPCLIENT-461,BUG,BUG,HttpClient does not correctly handle escaped characters in HTTP header elements
HTTPCLIENT-463,BUG,BUG,Occasional Host connection pool not found
HTTPCLIENT-464,BUG,BUG,An HTTP 204 NO CONTENT response results in dropped connection
HTTPCLIENT-467,BUG,BUG,CookieSpecBase.domainMatch leaks cookies to 3rd party domains
HTTPCLIENT-469,BUG,BUG,Stale connection check does not work with IBM JSSE JRE
HTTPCLIENT-471,BUG,BUG,DateUtil formatDate uses default locale instead of US
HTTPCLIENT-472,BUG,IMPROVEMENT,No equals operation for Credentials implementations
HTTPCLIENT-478,BUG,BUG,HttpConnectionParams.setConnectionTimeout int has no effect if host unreachable
HTTPCLIENT-487,BUG,BUG,ParameterParser parse method for authentication headers does not appear to deal with empty value strings
HTTPCLIENT-489,BUG,BUG,Request is retried if preemptive authentication fails
HTTPCLIENT-490,BUG,BUG,Can not set the Proxy-connection header
HTTPCLIENT-491,BUG,BUG,nonce-count in digest auth should not be quoted
HTTPCLIENT-495,BUG,BUG,DefaultHttpMethodRetryHandler does not check whether the failed method has been aborted
HTTPCLIENT-5,BUG,BUG,Cookie.parse exception when parsing expiry date in single quotes
HTTPCLIENT-501,BUG,BUG,Minor RFC 2109 2965 violation
HTTPCLIENT-502,BUG,BUG,HttpConnection isOpen flag concurrency problem
HTTPCLIENT-504,BUG,BUG,max connections per host setting does not work
HTTPCLIENT-506,BUG,BUG,Digest auth uses wrong uri in proxy authentication
HTTPCLIENT-511,BUG,BUG,Preemptive Authorization parameter initialization incorrect causes preemptive auth not to work
HTTPCLIENT-512,BUG,BUG,UsernamePasswordCredentials.equals null throws NPE
HTTPCLIENT-514,BUG,BUG,Preemptive auth flags disregarded during ssl tunnel creation
HTTPCLIENT-520,BUG,BUG,MultipartEntity incorrectly computes unknown length
HTTPCLIENT-522,BUG,BUG,ProxyCredentials disclosed to remote host
HTTPCLIENT-530,BUG,BUG,Findbugs reports and fixes
HTTPCLIENT-539,BUG,BUG,UserInfo disapears after creating URI
HTTPCLIENT-542,BUG,BUG,Explicit VirtualHosts Can Cause Issues On Redirects
HTTPCLIENT-544,BUG,BUG,Digest auth uses incorrect URI
HTTPCLIENT-546,BUG,BUG,MultiThreadedHttpConnectionManager setMaxTotalConnections method doesn t work
HTTPCLIENT-557,BUG,BUG,Nullpointer when creating URI from scheme specific part with null fragment
HTTPCLIENT-561,BUG,BUG,entity returns the same stream for getContent
HTTPCLIENT-567,BUG,BUG,EasyX509TrustManager no longer checks cert expiry
HTTPCLIENT-569,BUG,BUG,HttpState.clearCookies should be synchronized
HTTPCLIENT-570,BUG,BUG,Failed CONNECT leaves connection in an inconsistent state
HTTPCLIENT-578,BUG,BUG,literal plus character in path components of HttpURL is not preserved.
HTTPCLIENT-587,BUG,BUG,derelativizing of relative URIs with a scheme is incorrect
HTTPCLIENT-588,BUG,BUG,relative URIs with internal double-slashes misparsed
HTTPCLIENT-594,BUG,BUG,HttpMethodBase aborted variable mistakenly declared transient instead of volatile
HTTPCLIENT-598,BUG,BUG,ContentLengthInputStream does not implement available properly
HTTPCLIENT-606,BUG,BUG,HttpMethodDirector fails when redirecting to a encoded URL location
HTTPCLIENT-612,BUG,BUG,FileRequestEntity in SVN does not close input file
HTTPCLIENT-616,BUG,BUG,HttpMethodDirector.executeWithRetry method fails to close the underlying connection if a RuntimeException is thrown
HTTPCLIENT-622,BUG,BUG,leak in MultiThreadedHttpConnectionManager.ConnectionPool.mapHosts
HTTPCLIENT-628,BUG,BUG,AutoCloseInputStream.available throws IOException when auto-closed
HTTPCLIENT-632,BUG,BUG,Possible NPE in HttpHost
HTTPCLIENT-633,BUG,BUG,MultiThreadedHttpConnectionManager does not properly respond to thread interrupts
HTTPCLIENT-634,BUG,IMPROVEMENT,HostConfiguration socketFactory is ignored
HTTPCLIENT-635,BUG,IMPROVEMENT,Port fix for HTTPCLIENT-633 to 4.0
HTTPCLIENT-641,BUG,BUG,Resource Leakage when loading keystore in AuthSSLProtocolSocketFactory
HTTPCLIENT-644,BUG,BUG,Bad request vulnerability
HTTPCLIENT-655,BUG,BUG,User-Agent string violates RFC
HTTPCLIENT-675,BUG,BUG,thread starving in MultiThreadedHttpConnectionManager
HTTPCLIENT-676,BUG,BUG,memory leak in MultiThreadedHttpConnectionManager
HTTPCLIENT-679,BUG,BUG,URI Absolutization does not follow browser behavior
HTTPCLIENT-687,BUG,BUG,DefaultRedirectHandler does not access correct HttpParams
HTTPCLIENT-688,BUG,BUG,HttpOptions.getAllowedMethods expects single Allow header
HTTPCLIENT-693,BUG,BUG,DEFAULT HEADERS not added to subsequent requests
HTTPCLIENT-698,BUG,BUG,DefaultRedirectHandler not resolving relative location URI wrt the request URI
HTTPCLIENT-704,BUG,BUG,Exception not caugh in DefaultResponseParser
HTTPCLIENT-705,BUG,BUG,Handle URIs with path component null
HTTPCLIENT-711,BUG,BUG,bad route computed for redirected requests
HTTPCLIENT-717,BUG,BUG,NPE in SimpleHttpConnectionManager.shutdown
HTTPCLIENT-718,BUG,BUG,SSL verification occurs before setSoTimeout which can lead to hangs
HTTPCLIENT-730,BUG,BUG,Use of Multi-Args URI Causes URI-Rewriting to improperly unescape characters
HTTPCLIENT-737,BUG,BUG,EchoHandler 104 possible NPE
HTTPCLIENT-741,BUG,BUG,AbstractClientConnAdapter prone to concurrency issues
HTTPCLIENT-747,BUG,BUG,No entry created for this pool.
HTTPCLIENT-754,BUG,BUG,BasicClientCookie.toString contains name instead of value when writing out cookie value
HTTPCLIENT-755,BUG,BUG,Use of java.net.URI.resolve is buggy
HTTPCLIENT-757,BUG,BUG,Default proxy set at the client level has no effect
HTTPCLIENT-759,BUG,BUG,DefaultClientRequestDirector doesn t release connections back to ClientConnectionManager on exceptions
HTTPCLIENT-760,BUG,BUG,Abort Before Execute Various Other Times Fails
HTTPCLIENT-763,BUG,BUG,AbstractClientConnAdapter abortConnection does not release the connection if called from the main execution thread while there is no blocking I O operation
HTTPCLIENT-765,BUG,BUG,String.toLowerCase toUpperCase should specify Locale.ENGLISH
HTTPCLIENT-767,BUG,BUG,Static variables need to be final or access should be synchronised
HTTPCLIENT-769,BUG,BUG,java.lang.IllegalStateException Connection already open.
HTTPCLIENT-771,BUG,BUG,ConcurrentModificationException thrown in MultiThreaded code
HTTPCLIENT-773,BUG,BUG,Parsing expires
HTTPCLIENT-776,BUG,BUG,NPE w AbstractPoolEntry.open
HTTPCLIENT-777,BUG,BUG,SingleClientConnectionManager Needs to Recreate UniquePoolEntry
HTTPCLIENT-784,BUG,BUG,Multipart post is broken
HTTPCLIENT-79,BUG,BUG,Preemtive Auth fails whithout credentials
HTTPCLIENT-790,BUG,BUG,Protocol interceptors not called when executing CONNECT methods
HTTPCLIENT-795,BUG,BUG,If there is more than 15 seconds between HttpClient.execute calls using a MultipartEntity a ProtocolException is thrown complaining about the Content-Length header already being present.
HTTPCLIENT-8,BUG,BUG,LogSource.setLevel incorrectly uses entrySet
HTTPCLIENT-803,BUG,BUG,SSL connections cannot be established using the IP address
HTTPCLIENT-806,BUG,BUG,ConnectException not handled in DefaultHttpMethodRetryHandler
HTTPCLIENT-813,BUG,BUG,HttpClient throws NPE on Invalid Port when used with MultiThreadedHttpConnectionManager
HTTPCLIENT-833,BUG,BUG,SSLSocketFactory.connectSocket possible NPE - or use of wrong variable
HTTPCLIENT-837,BUG,BUG,Wire produces invalid log skipping zero bytes in certain cases
HTTPCLIENT-848,BUG,BUG,HttpClient - Connections not released when SSL Tunneling fails.
HTTPCLIENT-85,BUG,BUG,Host request header does not contain port
HTTPCLIENT-852,BUG,BUG,CircularRedirectException encountered when using a proxy but not when reaching the target directly
HTTPCLIENT-853,BUG,BUG,Wrong cookie matching port number reported when using a proxy
HTTPCLIENT-856,BUG,BUG,Proxy NTLM Authentication Redirecting to different address fails saying Proxy Auth Required.
HTTPCLIENT-859,BUG,BUG,BasicCookieStore treats cookies of the same name from the same host as duplicates even if they have different paths
HTTPCLIENT-860,BUG,BUG,DefaultRequestDirector converts redirects of PUT POST to GET for status codes 301 302 307
HTTPCLIENT-875,BUG,BUG,DefaultClientConnectionOperator doesn t update socket after call to connectSocket ...
HTTPCLIENT-880,BUG,BUG,Check for correct content-type in URLEncodedUtils not working for encoding-suffixes
HTTPCLIENT-881,BUG,BUG,AbstractClientConnAdapter doesn t ensure that only one of ConnectionReleaseTrigger.abortConnection .releaseConnection has effect
HTTPCLIENT-882,BUG,BUG,Auth state is not correctly maintained if a successful NTLM authentication results in a redirect
HTTPCLIENT-883,BUG,BUG,SO TIMEOUT is not set on a request level
HTTPCLIENT-884,BUG,BUG,Charset omitted from UrlEncodedFormEntity Content-Type header
HTTPCLIENT-885,BUG,BUG,URLEncodedUtils fails to parse form-url-encoded entities that specify a charset
HTTPCLIENT-9,BUG,BUG,Null paths break the compare method
HTTPCLIENT-902,BUG,BUG,In case of ConnectTimeoutException HttpRequestRetryHandler is not used.
HTTPCLIENT-92,BUG,BUG,Cookies with in the value string is not parsed correctly in some cases
HTTPCLIENT-929,BUG,BUG,Request with two forward slashes for path fails
HTTPCLIENT-930,BUG,BUG,Unencoded redirect URI causes exception when following redirects
HTTPCLIENT-931,BUG,BUG,Change value of Expect header in org.apache.http.client.methods.HttpPost
HTTPCLIENT-932,BUG,BUG,SSLSocketFactory.connectSocket ... possible NPE
HTTPCLIENT-936,BUG,BUG,NullPointerException in NegotiateScheme
HTTPCLIENT-939,BUG,BUG,302 response without location header throws exception
HTTPCLIENT-940,BUG,BUG,impl.conn.Wire uses String.getBytes which depends on the default charset
HTTPCLIENT-944,BUG,BUG,In case of SocketTimeoutException and using HttpRequestRetryHandler the execution is always 1
HTTPCLIENT-948,BUG,BUG,IdleConnectionHandler can leave closed connections in a inconsistent state
HTTPCLIENT-951,BUG,BUG,Incorrect handling of InputStreams when connecting to a server that requires authentication
HTTPCLIENT-952,BUG,BUG,SSLSocketFactory.createSSLContext does not process trust store
HTTPCLIENT-953,BUG,BUG,ConnPoolByRoute driving RouteSpecificPool to IllegalState
HTTPCLIENT-960,BUG,BUG,HttpMultipart doesn t generate Content-Type part header in mode BROWSER COMPATIBLE
HTTPCLIENT-964,BUG,BUG,no-cache directives with field names are transmitted downstream
HTTPCLIENT-965,BUG,BUG,cache does not honor must-revalidate or proxy-revalidate Cache-Control directives
HTTPCLIENT-969,BUG,BUG,BasicCookieStore.getCookies returns non-threadsafe collection
HTTPCLIENT-97,BUG,BUG,Error reading data
HTTPCLIENT-974,BUG,BUG,RequestWrapper does not use the headers of the request it wraps.
HTTPCLIENT-98,BUG,BUG,PUT method blocks against older servers
HTTPCLIENT-981,BUG,BUG,CachingHttpClient returns a 411 respones when executing a POST HttpPost request
HTTPCLIENT-985,BUG,BUG,cache module should populate Via header to capture upstream and downstream protocols
HTTPCLIENT-986,BUG,BUG,cache module does not completely handle upstream Warning headers correctly
HTTPCLIENT-989,BUG,BUG,DefaultHttpRequestRetryHandler must not retry non-idempotent http methods violates RFC 2616
HTTPCLIENT-99,BUG,BUG,Requests are retried 3 times unconditionaly
HTTPCLIENT-991,BUG,BUG,cache module produces improperly formatted Warning header when revalidation fails
HTTPCLIENT-995,BUG,BUG,cache returns cached responses even if validators not consistent with all conditional headers
HTTPCLIENT-996,BUG,BUG,SSL does not seem to work at all
HTTPCLIENT-1020,NUG,,Please add maven-notice-plugin to gump-trunk
HTTPCLIENT-1072,NUG,IMPROVEMENT,Inline nested jars in OSGi bundles
HTTPCLIENT-114,NUG,BUG,httpclient build requires jdk 1.4 or jce in classpath
HTTPCLIENT-1172,NUG,,LocalTestServer and supporting classes should be available as a separate jar
HTTPCLIENT-146,NUG,BUG,Error from maven when generating the task list
HTTPCLIENT-215,NUG,BUG,Build problem with StrictSSLProtocolSocketFactory
HTTPCLIENT-259,NUG,BUG, Maven Migrate checkstyle.properties to XML
HTTPCLIENT-583,NUG,IMPROVEMENT,Build.xml - add log level definitions
HTTPCLIENT-595,NUG,IMPROVEMENT,Fix junit scope in maven pom
HTTPCLIENT-605,NUG,IMPROVEMENT,junit dependency in pom.xml with default compile scope
HTTPCLIENT-639,NUG,,Add OSGi bundle metadata to manifest
HTTPCLIENT-67,NUG,BUG,Build environment configuration Mavenize the build process
HTTPCLIENT-686,NUG,BUG,Maven 2 POM includes junit in default compile scope rather than test scope
HTTPCLIENT-768,NUG,,Publish source javadoc jar files to the Maven repository
HTTPCLIENT-826,NUG,IMPROVEMENT,Set source and output encoding in POMs
HTTPCLIENT-1005,NUG,IMPROVEMENT,API surface of caching module can be reduced
HTTPCLIENT-145,NUG,BUG,Align the code base with checkstyle
HTTPCLIENT-304,NUG,BUG,Cleanup use of EncodingUtil and HttpConstants
HTTPCLIENT-383,NUG,BUG,HostConfiguration handling requires cleanup
HTTPCLIENT-618,NUG,IMPROVEMENT,Eliminate class HostConfiguration
HTTPCLIENT-713,NUG,,remove RoutedRequest from ClientRequestDirector interface
