ID,CLASSIFIED,TYPE,SUMMARY,Alan Ratings,Aaron Ratings,Lotfi Ratings
SPARK-33144,BUG,BUG,"Connot insert overwite multiple partition, get exception ""get partition: Value for key name is null or empty""",BUG,BUG,BUG
SPARK-33148,BUG,BUG,SQLConf inconsistency between SharedState and SessionState,BUG,BUG,BUG
SPARK-33113,BUG,BUG,"gapply works with arrow disabled, fails with arrow enabled stringsAsFactors=TRUE",BUG,BUG,BUG
SPARK-29625,BUG,BUG,Spark Structure Streaming Kafka Wrong Reset Offset twice,BUG,BUG,BUG
SPARK-33135,NUG,NUG,Use listLocatedStatus from FileSystem implementations,NUG,NUG,NUG
SPARK-33090,NUG,NUG,Upgrade Google Guava,NUG,NUG,NUG
SPARK-33121,NUG,BUG,Spark does not shutdown gracefully,NUG,NUG,NUG
SPARK-31338,BUG,BUG,Spark SQL JDBC Data Source partitioned read : Spark SQL does not honor for NOT NULL table definition of partition key.,BUG,BUG,BUG
SPARK-28099,BUG,BUG,Assertion when querying unpartitioned Hive table with partition-like naming,BUG,BUG,BUG
SPARK-32166,BUG,BUG,Metastore problem on Spark3.0 with Hive3.0,BUG,BUG,BUG
SPARK-32281,BUG,BUG,Spark wipes out SORTED spec in metastore when DESC is used,BUG,BUG,BUG
SPARK-33114,NUG,NUG,Add metadata in MapStatus to support custom shuffle manager,NUG,NUG,NUG
SPARK-33110,BUG,BUG,array_contains doesn't pick element in the array but just at the end,BUG,BUG,BUG
SPARK-33045,NUG,NUG,Implement built-in LIKE ANY and LIKE ALL UDF,NUG,NUG,NUG
SPARK-31972,NUG,NUG,Improve heurestic for selecting nodes for scale down to take into account graceful decommission cost,NUG,NUG,NUG
SPARK-32924,BUG,BUG,Web UI sort on duration is wrong,BUG,BUG,BUG
SPARK-33097,NUG,NUG,Add Decommissioning messages to the Spark listener bus,NUG,NUG,NUG
SPARK-22674,BUG,BUG,PySpark breaks serialization of namedtuple subclasses,BUG,BUG,BUG
SPARK-28360,BUG,NUG,The serviceAccountName configuration item does not take effect in client mode.,BUG,NUG,BUG
SPARK-27484,NUG,NUG,Create the streaming writing logical plan node before query is analyzed,NUG,NUG,NUG
SPARK-33084,NUG,NUG,Add jar support ivy path,NUG,NUG,NUG
SPARK-31800,BUG,BUG,Unable to disable Kerberos when submitting jobs to Kubernetes,BUG,BUG,BUG
SPARK-25299,NUG,NUG,Use remote storage for persisting shuffle data,NUG,NUG,NUG
SPARK-31924,NUG,NUG,Create remote shuffle service reference implementation,NUG,NUG,NUG
SPARK-31257,NUG,NUG,Unify create table syntax to fix ambiguous two different CREATE TABLE syntaxes,NUG,NUG,NUG
SPARK-33059,BUG,BUG,Bug with self joined tables after posexploded column,BUG,BUG,BUG
SPARK-33054,NUG,NUG,Support interval type in PySpark,NUG,NUG,NUG
SPARK-30186,NUG,NUG,support Dynamic Partition Pruning in Adaptive Execution,NUG,NUG,NUG
SPARK-27318,BUG,BUG,Join operation on bucketing table fails with base adaptive enabled,BUG,BUG,BUG
SPARK-32965,BUG,BUG,pyspark reading csv files with utf_16le encoding,BUG,BUG,BUG
SPARK-33041,NUG,NUG,Better error messages when PySpark Java Gateway Crashes,NUG,NUG,NUG
SPARK-33022,BUG,BUG,partition length is wrong after merge partition segments in BypassMergeSortShuffleWriter,BUG,BUG,BUG
SPARK-32947,NUG,NUG,Support top-N sort for Spark SQL window function,NUG,NUG,NUG
SPARK-33029,BUG,BUG,Standalone mode blacklist executors page UI marks driver as blacklisted,BUG,BUG,BUG
SPARK-32976,NUG,NUG,Support column list in INSERT statement,NUG,NUG,NUG
SPARK-32113,NUG,NUG,Avoid coalescing shuffle partitions if joining event-based table,NUG,NUG,NUG
SPARK-33014,BUG,BUG,Multiple bucket column not works in DataSourceV2 table,BUG,BUG,BUG
SPARK-32969,BUG,BUG,Spark Submit process not exiting after session.stop(),BUG,BUG,BUG
SPARK-32994,BUG,BUG,Heavy external accumulators may lead driver full GC problem,BUG,BUG,BUG
SPARK-32893,BUG,BUG,Structured Streaming and Dynamic Allocation on StandaloneCluster,BUG,BUG,BUG
SPARK-32956,BUG,BUG,Duplicate Columns in a csv file,BUG,BUG,BUG
SPARK-32975,BUG,BUG,[K8S] - executor fails to be restarted after it goes to ERROR/Failure state,BUG,BUG,BUG
SPARK-32778,BUG,NUG,Accidental Data Deletion on calling saveAsTable,BUG,NUG,BUG
SPARK-17556,NUG,NUG,Executor side broadcast for broadcast joins,NUG,NUG,NUG
SPARK-32925,NUG,NUG,Support push-based shuffle in multiple deployment environments,NUG,NUG,NUG
SPARK-32928,BUG,BUG,Non-deterministic expressions should not be reordered inside AND and OR,BUG,BUG,BUG
SPARK-32957,NUG,NUG,Add a GitHub Actions job to run WebUI tests with Chrome,NUG,NUG,NUG
SPARK-32953,NUG,NUG,Lower memory usage in toPandas with Arrow self_destruct,NUG,NUG,NUG
SPARK-32096,NUG,NUG,Improve sorting performance for?Spark SQL rank window function?,NUG,NUG,NUG
SPARK-32821,NUG,NUG,cannot group by with window in sql statement for structured streaming with watermark,NUG,NUG,NUG
SPARK-32940,NUG,NUG,"Collect, first and last should be deterministic aggregate functions",NUG,NUG,NUG
SPARK-32939,NUG,NUG,Avoid re-compute expensive expression,NUG,NUG,NUG
SPARK-31754,BUG,BUG,Spark Structured Streaming: NullPointerException in Stream Stream join,BUG,BUG,BUG
SPARK-29900,NUG,NUG,make relation lookup behavior consistent within Spark SQL,NUG,NUG,NUG
SPARK-32904,BUG,BUG,pyspark.mllib.evaluation.MulticlassMetrics needs to swap the results of precision( ) and recall( ),BUG,BUG,BUG
SPARK-32899,NUG,NUG,Support submit application with user-defined cluster manager,NUG,NUG,NUG
SPARK-32891,NUG,NUG,Enhance UTF8String.trim,NUG,NUG,NUG
SPARK-32895,BUG,BUG,DataSourceV2 allow ACCEPT_ANY_SCHEMA in write path,BUG,BUG,BUG
SPARK-32834,BUG,BUG,from_avro is giving empty result,BUG,BUG,BUG
SPARK-32880,NUG,NUG,Improve and refactor parallel listing in HadoopFSUtils,NUG,NUG,NUG
SPARK-24528,NUG,NUG,Add support to read multiple sorted bucket files for data source v1,NUG,NUG,NUG
SPARK-32795,BUG,BUG,ApplicationInfo#removedExecutors can cause OOM,BUG,BUG,BUG
SPARK-32856,NUG,NUG,Prohibit binary comparisons chain,NUG,NUG,NUG
SPARK-32855,NUG,NUG,Improve DPP for some join type do not support broadcast filtering side,NUG,NUG,NUG
SPARK-32847,NUG,NUG,Add DataStreamWriterV2 API,NUG,NUG,NUG
SPARK-32842,NUG,NUG,Support dynamic partition pruning hint,NUG,NUG,NUG
SPARK-32837,NUG,NUG,Leverage pip and setup.py configurations to pass Hadoop and Hive options in pip installation,NUG,NUG,NUG
SPARK-24295,BUG,BUG,Purge Structured streaming FileStreamSinkLog metadata compact file data.,BUG,BUG,BUG
SPARK-27188,NUG,NUG,FileStreamSink: provide a new option to have retention on output files,NUG,NUG,NUG
SPARK-32820,NUG,NUG,Remove redundant shuffle exchanges inserted by EnsureRequirements,NUG,NUG,NUG
SPARK-32818,BUG,BUG,Make hive metastore convert config can be changed session level,BUG,BUG,BUG
SPARK-27483,NUG,NUG,Move the data source v2 fallback to v1 logic to an analyzer rule,NUG,NUG,NUG
SPARK-32758,BUG,BUG,Spark ignores limit(1) and starts tasks for all partition,BUG,BUG,BUG
SPARK-32801,NUG,NUG,Make InferFiltersFromConstraints take in account EqualNullSafe,NUG,NUG,NUG
SPARK-32803,BUG,BUG,Catch InterruptedException when resolve rack in SparkRackResolver,BUG,BUG,BUG
SPARK-32530,NUG,NUG,SPIP: Kotlin support for Apache Spark,NUG,NUG,NUG
SPARK-32598,BUG,BUG,Not able to see driver logs in spark history server in standalone mode,BUG,BUG,BUG
SPARK-28955,NUG,NUG,Support for LocalDateTime semantics,NUG,NUG,NUG
SPARK-32792,NUG,NUG,Improve in filter pushdown for ParquetFilters,NUG,NUG,NUG
SPARK-25200,BUG,BUG,Allow setting HADOOP_CONF_DIR as a spark property,BUG,BUG,BUG
SPARK-32781,BUG,BUG,Non-ASCII characters are mistakenly omitted in the middle of intervals,BUG,BUG,BUG
SPARK-32734,BUG,BUG,RDD actions in DStream.transfrom delays batch submission,BUG,BUG,BUG
SPARK-32735,BUG,BUG,RDD actions in DStream.transfrom don't show at batch page,BUG,BUG,BUG
SPARK-32746,BUG,BUG,Not able to run Pandas UDF,BUG,BUG,BUG
SPARK-32752,NUG,NUG,Alias breaks for interval typed literals,NUG,NUG,NUG
SPARK-32317,BUG,BUG,"Parquet file loading with different schema(Decimal(N, P)) in files is not working as expected",BUG,BUG,BUG
SPARK-32775,BUG,BUG,Spark client dependency support ignores non-local paths,BUG,BUG,BUG
SPARK-32773,BUG,BUG,The behavior of listJars and listFiles is not consistent between YARN and other cluster managers,BUG,BUG,BUG
SPARK-19320,NUG,NUG,Allow guaranteed amount of GPU to be used when launching jobs,NUG,NUG,NUG
SPARK-32742,BUG,BUG,"FileOutputCommitter warns ""No Output found for attempt""",BUG,BUG,BUG
SPARK-32732,NUG,NUG,Convert schema only once in OrcSerializer,NUG,NUG,NUG
SPARK-24892,NUG,NUG,Simplify `CaseWhen` to `If` when there is only one branch,NUG,NUG,NUG
SPARK-32385,NUG,NUG,"Publish a ""bill of materials"" (BOM) descriptor for Spark with correct versions of various dependencies",NUG,NUG,NUG
SPARK-32533,NUG,NUG,Improve Avro read/write performance on nested structs and array of structs,NUG,NUG,NUG
SPARK-32532,NUG,NUG,Improve ORC read/write performance on nested structs and array of structs,NUG,NUG,NUG
SPARK-32725,NUG,NUG,Getting jar vulnerability for kryo-shaded for 4.0 version,NUG,NUG,NUG
SPARK-32444,NUG,NUG,Infer filters from DPP,NUG,NUG,NUG
SPARK-25784,NUG,NUG,Infer filters from constraints after rewriting predicate subquery,NUG,NUG,NUG
SPARK-14922,NUG,BUG,Alter Table Drop Partition Using Predicate-based Partition Spec,NUG,BUG,NUG
SPARK-32636,BUG,BUG,AsyncEventQueue: Exception scala.Some cannot be cast to java.lang.String,BUG,BUG,BUG
SPARK-32707,NUG,NUG,Support File Based spark.authenticate secret in Mesos Backend,NUG,NUG,NUG
SPARK-32412,NUG,NUG,Unify error handling for spark thrift server operations,NUG,NUG,NUG
SPARK-32673,BUG,BUG,Pyspark/cloudpickle.py - no module named 'wfdb',BUG,BUG,BUG
SPARK-31936,NUG,NUG,Implement ScriptTransform in sql/core,NUG,NUG,NUG
SPARK-32692,BUG,BUG,Support INSERT OVERWRITE DIR cross cluster,BUG,BUG,BUG
SPARK-32333,NUG,NUG,Drop references to Master,NUG,NUG,NUG
SPARK-32500,NUG,BUG,Query and Batch Id not set for Structured Streaming Jobs in case of ForeachBatch in PySpark,NUG,BUG,NUG
SPARK-32569,NUG,BUG,Gaussian can not handle data close to MaxDouble,NUG,BUG,NUG
SPARK-32617,NUG,BUG,Upgrade kubernetes client version to support latest minikube version.,NUG,BUG,NUG
SPARK-23530,NUG,NUG,It's not appropriate to let the original master exit while the leader of zookeeper shutdown,NUG,NUG,NUG
SPARK-10520,NUG,NUG,Dates cannot be summarised,NUG,NUG,NUG
SPARK-32642,NUG,NUG,Add support for ESS in Spark sidecar,NUG,NUG,NUG
SPARK-32680,BUG,BUG,CTAS with V2 catalog wrongly accessed unresolved query,BUG,BUG,BUG
SPARK-28008,NUG,NUG,Default values & column comments in AVRO schema converters,NUG,NUG,NUG
SPARK-32628,NUG,NUG,Use bloom filter to improve dynamicPartitionPruning,NUG,NUG,NUG
SPARK-29274,BUG,BUG,Should not coerce decimal type to double type when it's join column,BUG,BUG,BUG
SPARK-32644,NUG,NUG,NAAJ support for ShuffleHashJoin when AQE is on,NUG,NUG,NUG
SPARK-32612,BUG,BUG,int columns produce inconsistent results on pandas UDFs,BUG,BUG,BUG
SPARK-32631,NUG,NUG,Handle Null error message in hive ThriftServer UI,NUG,NUG,NUG
SPARK-32627,NUG,NUG,Add showSessionLink parameter to SqlStatsPagedTable class in ThriftServerPage,NUG,NUG,NUG
SPARK-32630,NUG,NUG,Reduce user confusion and subtle bugs by optionally preventing date & timestamp comparison,NUG,NUG,NUG
SPARK-27708,NUG,NUG,Add documentation for v2 data sources,NUG,NUG,NUG
SPARK-17967,NUG,NUG,Support for list or other types as an option for datasources,NUG,NUG,NUG
SPARK-32587,BUG,BUG,SPARK SQL writing to JDBC target with bit datatype using Dataframe is writing NULL values,BUG,BUG,BUG
SPARK-31776,NUG,NUG,Literal lit() supports lists and numpy arrays,NUG,NUG,NUG
SPARK-30552,BUG,BUG,Chained spark column expressions with distinct windows specs produce inefficient DAG,BUG,BUG,BUG
SPARK-32268,NUG,NUG,Bloom Filter Join,NUG,NUG,NUG
SPARK-27997,NUG,NUG,kubernetes client token expired,NUG,NUG,NUG
SPARK-32572,NUG,NUG,"Run all the tests at once, instead of having separate entrypoints.",NUG,NUG,NUG
SPARK-32571,BUG,BUG,yarnClient.killApplication(appId) is never called,BUG,BUG,BUG
SPARK-32432,NUG,NUG,Add support for reading ORC/Parquet files with SymlinkTextInputFormat,NUG,NUG,NUG
SPARK-32574,BUG,BUG,Race condition in FsHistoryProvider listing iteration,BUG,BUG,BUG
SPARK-32565,NUG,NUG,Parquet encryption policy interface,NUG,NUG,NUG
SPARK-32522,BUG,BUG,Using pyspark with a MultiLayerPerceptron model given inconsistent outputs if a large amount of data is fed into it and at least one of the model outputs is fed to a Python UDF.,BUG,BUG,BUG
SPARK-32544,NUG,NUG,Bucketing and Partitioning information are not passed on to non FileFormat datasource writes,NUG,NUG,NUG
SPARK-30069,BUG,BUG,Clean up non-shuffle disk block manager files following executor exists on YARN,BUG,BUG,BUG
SPARK-32553,BUG,BUG,Spark application failed due to stage fatch failed without retry,BUG,BUG,BUG
SPARK-32545,BUG,BUG,Applications with Maven dependencies fail when submitted in cluster mode on K8s,BUG,BUG,BUG
SPARK-32541,NUG,NUG,MSCK REPAIR TABLE should drop the missing partitions from metastore,NUG,NUG,NUG
SPARK-32293,BUG,BUG,Inconsistent default unit between Spark memory configs and JVM option,BUG,BUG,BUG
SPARK-32486,BUG,BUG,Issue with deserialization and persist api in latest spark java versions,BUG,BUG,BUG
SPARK-29965,BUG,BUG,Race in executor shutdown handling can lead to executor never fully unregistering,BUG,BUG,BUG
SPARK-22231,NUG,NUG,"Support of map, filter, withField, dropFields in nested list of structures",NUG,NUG,NUG
SPARK-31470,NUG,NUG,Introduce SORTED BY clause in CREATE TABLE statement,NUG,NUG,NUG
SPARK-22947,NUG,NUG,SPIP: as-of join in Spark SQL,NUG,NUG,NUG
SPARK-29886,NUG,NUG,Add support for Spark style HashDistribution and Partitioning to V2 Datasource,NUG,NUG,NUG
SPARK-32484,BUG,BUG,Not accurate Log Info in BroadcastExchangeExec.scala,BUG,BUG,BUG
SPARK-20684,NUG,BUG,expose createOrReplaceGlobalTempView/createGlobalTempView and dropGlobalTempView in SparkR,NUG,BUG,NUG
SPARK-32139,NUG,NUG,Unify Classification Training Summary,NUG,NUG,NUG
SPARK-32429,NUG,NUG,Standalone Mode allow setting CUDA_VISIBLE_DEVICES on executor launch,NUG,NUG,NUG
SPARK-32269,BUG,BUG,Failed to rename delta file on checkpoint path,BUG,BUG,BUG
SPARK-32433,BUG,BUG,Spark Web UI shows Nan undefined in Shuffle Read Size / Records,BUG,BUG,BUG
SPARK-32464,NUG,NUG,Support skew handling on join that has one side with no query stage,NUG,NUG,NUG
SPARK-29302,BUG,BUG,dynamic partition overwrite with speculation enabled,BUG,BUG,BUG
SPARK-27194,BUG,BUG,Job failures when task attempts do not clean up spark-staging parquet files,BUG,BUG,BUG
SPARK-31168,NUG,NUG,Upgrade Scala to 2.12.13,NUG,NUG,NUG
SPARK-31356,NUG,NUG,reduceGroupValues function for KeyValueGroupedDataset,NUG,NUG,NUG
SPARK-32294,NUG,BUG,GroupedData Pandas UDF 2Gb limit,NUG,NUG,NUG
SPARK-32418,BUG,BUG,"Flaky test: org.apache.spark.DistributedSuite.caching in memory, serialized, replicated (encryption = off)",BUG,BUG,BUG
SPARK-32414,BUG,BUG,pyspark crashes in cluster mode with kafka structured streaming,BUG,BUG,BUG
SPARK-32334,NUG,NUG,Investigate commonizing Columnar and Row data transformations,NUG,NUG,NUG
SPARK-27780,NUG,NUG,Shuffle server & client should be versioned to enable smoother upgrade,NUG,NUG,NUG
SPARK-32407,NUG,NUG,Remove upperbound of Sphinx version,NUG,NUG,NUG
SPARK-32395,NUG,BUG,Commit output files after task attempt succeed in dynamic partition datawriter,NUG,BUG,NUG
SPARK-26346,NUG,BUG,Upgrade parquet to 1.11.1,NUG,NUG,NUG
